Souce:  Handshake export,,,,,,,,,,,,,,,,,,,,,
Employer ID,Employer Name,Employer Industry,Description,Website,Division,Employment Types,Jobs on Handshake,Job Titles,Majors,Major Groups,Combined Majors,Job Types,School Years,US work authorization required?,Accepts OPT/CPT candidates?,Willing to sponsor candidate?,Does your company have an Indiana facility?,Is your company headquartered in Indiana?,Is your employer a Third Party Recruiter/Staffing Agency?,Does your employer hire freshmen for summer internships?,Is this your employer's first fair to attend at Rose-Hulman?
182523,Schaefer,Civil Engineering,"We are hands-on, open-minded and collaborative structural engineers.
We live to make all projects successful and tight deadlines happen.

Tirelessly collaborative
Whether it be in partnership with architects, developers, contractors, or direct to clients . . . seamless teams make projects work.

Devoted to accuracy
Expect accurate calculations, and a focus on structures that maintain design integrity.

Schaefer has at least one engineer licensed in every state plus Puerto Rico and youâ€™ll find examples of our innovative structural projects of varying sizes, complexity and materials throughout the United States. We are known for our creativity, broad experience and detailed construction documents. Our clients partner with us for our collaborative structural engineering services: planning, design, inspection, investigation.",http://schaefer-inc.com/,,"Full-Time, Part-Time",Structural Engineer | Engineer in Training,Structural Engineer | Engineer in Training,,"Civil/Environmental Engineering, Construction Engineering","Civil Engineering, Engineering Management (MS), Environmental Engineering, Environmental Engineering (MS)","Internship, Job","Masters, Senior, Junior, Sophomore, Freshman",TRUE,TRUE,TRUE,No,No,No,Yes,No
108936,U.S. Navy,"Government - Local, State & Federal","Americaâ€™s Navy is approximately 450,000 Sailors, 300 ships and submarines, and 3,700 aircraft strong. 

Water and salt flow through our veins in the same proportion as the sea. That mighty force is the lifeblood of the greatest Navy ever to sail unstoppably upon it, slip stealthily beneath it or fly unchallenged above it. And we defend with honor, courage, and commitment every hour of every day.

We are Americaâ€™s Navy. We are forged by the sea.

Start your Journey at Navy.com ",https://www.navy.com/,US NAVY,Full-Time,"Naval Nuclear Propulsion Officer Candidate, Nuclear Engineer - Submarine, Nuclear Reactors Engineer, Navy Civil Engineer","Naval Nuclear Propulsion Officer Candidate, Nuclear Engineer - Submarine, Nuclear Reactors Engineer, Navy Civil Engineer",,"Aerospace Engineering, Agriculture & Biological Engineering, Automation Engineering, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil/Environmental Engineering, Computer Engineering, Construction Engineering, Electrical Engineering, Energy Engineering, General Engineering, Industrial Engineering, Materials Science & Engineering, Mechanical Engineering, Network Engineering, Nuclear Engineering, Packaging Engineering","Biochemistry, Biochemistry & Molecular Biology, Biology, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computational Science, Computer Engineering, Computer Science, Electrical & Computer Engr, Electrical Engineering, Engineering Design, Engineering Management, Engineering Management (MS), Environmental Engineering, Environmental Engineering (MS), International Computer Science, Mechanical Engineering, Nanoengineering, Optical Engineering, Software Engineering, Syst. Engr & Mgmt Internat'l",Job,"Masters, Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,No,No,No,No,No
23344,"Woolpert, Inc.",Civil Engineering,"Woolpert is a global architecture, engineering and geospatial (AEG) firm that is at the forefront of innovation to directly improve the world around usâ€”through the roads you drive on, water you drink, schools you attend, parks you visit and so much more. At Woolpert, we believe that a strong, thriving company requires a diverse team with a broad range of perspectives, backgrounds, knowledge, and experiences. 

Woolpert earned six straight Great Place to Work certifications through employee input and has a vision to be one of the worldâ€™s best companies by nurturing a culture of growth, inclusion, diversity and respect. We hire and retain the best talent by advancing a positive culture, individual development and promoting from within. The firm has 1,900 employees and 60 offices on four continents. For more information, please explore woolpert.com. ",http://www.woolpert.com,,"Full-Time, Part-Time",,None,,,,"Fellowship, Internship, Job","Alumni, Second Year Community / Technical College, First Year Community / Technical College, Doctorate, Masters of Business Administration, Masters, Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,Yes,No,No,Yes,No
18699,Honeywell,Internet & Software,"Honeywell is a Fortune 100 company that invents and manufactures technologies to address tough challenges linked to global macrotrends such as safety, security, and energy. With approximately 110,000 employees worldwide, including more than 19,000 engineers and scientists, we have an unrelenting focus on quality, delivery, value, and technology in everything we make and do.
",http://www.honeywell.com/careers,,Full-Time,,None,,"Chemical Engineering, Mechanical Engineering","Chemical Engineering, Engineering Design, Mechanical Engineering","Internship, Job","Senior, Junior",TRUE,FALSE,FALSE,Yes,No,No,No,No
139750,"Janssen & Spaans Engineering, Inc.",Civil Engineering,"JSE has been designing the future since 1978. Located in the heart of bustling Indianapolis, JSE provides engineering excellence through infrastructure and transportation designs. As a leader in the industry, we deliver outstanding service and innovative, cost-effective designs providing exceptional solutions for all clients both locally and around the world! A culmination of Road and Bridge Engineers, CAD Techs, Surveyors, and Project Managers, JSE thrives on pushing, not only Indiana Forward, but the nation one project at a time. 

We are always searching for something new, exciting, and exceptional! Come Design your Future with us!

http://jsengr.com/careers/job-openings/ ",http://jsengr.com,,"Full-Time, Part-Time","Bridge Design Project Engineer, Bridge Engineer Internship, CAD Technician Transportation Design, Entry Level Road Design Engineer, Road Design Project Engineer, Structural Engineer Internship, Transportation Engineer Internship","Bridge Design Project Engineer, Bridge Engineer Internship, CAD Technician Transportation Design, Entry Level Road Design Engineer, Road Design Project Engineer, Structural Engineer Internship, Transportation Engineer Internship",,Civil/Environmental Engineering,"Civil Engineering, Environmental Engineering, Environmental Engineering (MS)","Cooperative Education, Internship, Job","Alumni, Masters, Senior, Junior",TRUE,FALSE,FALSE,Yes,Yes,No,No,No
253980,Kratos Defense & Security Solutions,Defense,"Kratos develops technology and products supporting strategic and transformational national security programs and delivers disruptive solutions rapidly to market.  Kratos specializes in information technology, satellite communications and training to help our customers achieve consistently higher levels of performance.

Kratos Defense & Security Solutions, Inc. provides a range of products, services and solutions to support the government and commercial markets. We primarily deliver mission critical engineering, IT services and technical solutions for the Department of Defense, and we perform a variety of work for state and local agencies and commercial customers. Our team includes engineers, technicians and other industry professionals. We have locations throughout the United States at various customer sites and key military locations. Together, our employees solve complex technical challenges requiring innovative solutions for our customersâ€™ mission critical operations.
",https://www.kratosdefense.com,Defense & Rocket Support Services,"Full-Time, Part-Time",,None,,"Aerospace Engineering, Agriculture & Biological Engineering, Astronomy/Space Exploration, Automation Engineering, Automotive Engineering, Aviation, Biomedical Engineering, Chemical Engineering, Chemistry, Civil/Environmental Engineering, Computer Engineering, Construction Engineering, Electrical Engineering, Energy Engineering, General Engineering, Industrial Engineering, Materials Science & Engineering, Mathematics, Mechanical Engineering, Network Engineering, Nuclear Engineering, Packaging Engineering, Physics, Statistics","Applied Optics, Biochemistry, Biochemistry & Molecular Biology, Biology, Biomathematics, Biomedical Engineering, Chemical Engineering, Chemistry, Civil Engineering, Computational Science, Computer Engineering, Computer Science, Data Science, Electrical & Computer Engr, Electrical Engineering, Engineering Design, Engineering Management, Engineering Management (MS), Engineering Physics, Environmental Engineering, Environmental Engineering (MS), International Computer Science, Mathematics, Mechanical Engineering, Nanoengineering, Optical Engineering, Physics, Software Engineering, Syst. Engr & Mgmt Internat'l","Cooperative Education, Internship, Job","Alumni, Postdoctoral Studies, Doctorate, Masters of Business Administration, Masters, Senior, Junior",TRUE,FALSE,FALSE,Yes,No,No,No,No
35754,Cornerstone Controls,Engineering & Construction,"At Cornerstone*, a growing, employee owned, automation company, you will find purpose and mission for your work. You will have significant personal and technical growth, while helping customers achieve results. We offer career development opportunities through training, mentoring, team-oriented work, and leadership paths. We have technical, management, and sales career paths available. We offer a work-life culture. Join our team!  *Cornerstone is an Impact Partner of the Emerson Automation Solutions business unit of Emerson Corporation. We are a process automation solutions provider with a portfolio including best-in-class regulators, control valves, instrumentation, control systems, and a wide range of related engineering functions. ",http://www.cornerstonecontrols.com,,Full-Time,"Digital Solutions Engineer - Life Sciences, Automation Engineer, Technical Sales Engineer","Manufacturing Execution Systems Engineer, Process Automation Engineer, Technical Sales Engineer","Chemical Engineering, Computer Science, Data Science, Electrical & Computer Engr, Electrical Engineering, Mechanical Engineering",,"Chemical Engineering, Computer Science, Data Science, Electrical & Computer Engr, Electrical Engineering, Mechanical Engineering",Job,"Alumni, Masters, Senior",TRUE,FALSE,FALSE,Yes,No,No,No,No
847967,National Space Intelligence Center,Government - Intelligence,"The National Space Intelligence Center (NSIC), located at Wright-Patterson Air Force Base in Dayton, Ohio, is the US Space Force and Department of Defense (DoD) primary source for foreign space threats. NSIC creates integrated, predictive intelligence in the air, space, and cyberspace domains enabling military operations, force modernization, and policymaking.   We perform intelligence analysis to assess characteristics, performance, limitations, vulnerabilities, and employment of ground-fixed and space-based counterspace cyber and electronic warfare systems.  Our nationâ€™s leaders depend on NSICâ€™s expertise and analysis to guide their decision-making.  
",https://www.spaceforce.mil/About-Us/Fact-Sheets/Fact-Sheet-Display/Article/3820323/national-space-intelligence-center/,,Full-Time,"Developmental Engineer, Developmental Intelligence Specialist","Developmental Engineer, Developmental Intelligence Specialist",,,,Job,"Alumni, Postdoctoral Studies, Doctorate, Masters of Business Administration, Masters, Senior, Junior",TRUE,FALSE,FALSE,No,No,No,No,No
10534,Marathon Petroleum Company LP,Oil & Gas,"Marathon Petroleum Corporation (MPC) is a leading, integrated, downstream energy company headquartered in Findlay, Ohio. The company operates the nation's largest refining system. MPC's marketing system includes branded locations across the United States, including Marathon brand retail outlets. MPC also owns the general partner and majority limited partner interest in MPLX LP, a midstream company that owns and operates gathering, processing, and fractionation assets, as well as crude oil and light product transportation and logistics infrastructure.",http://www.joinMPC.com,,,,Internship/Co-op - Refining Chemical Engineer; Internship/Co-op - Refining Mechanical Engineer; Internship/Co-op - Refining Electrical Engineer,,"Chemical Engineering, Electrical Engineering, Mechanical Engineering","Chemical Engineering, Electrical & Computer Engr, Electrical Engineering, Engineering Design, Mechanical Engineering","Cooperative Education, Internship",,TRUE,FALSE,FALSE,No,No,No,No,No
16708,Mainstream Engineering,Aerospace,"Mainstream Engineering is a solutions-oriented research, development and manufacturing organization founded in 1986. Our mission is to provide solutions to energy conversion and thermal control challenges to government and industry clients. For more info on our firm, please visit us on the web at www.mainstream-engr.com",http://www.mainstream-engr.com,Engineering,Full-Time,,None,,,,Job,"Doctorate, Masters, Senior",TRUE,FALSE,FALSE,No,No,No,No,No
201210,LJB Inc.,Civil Engineering,"LJB is a national engineering firm with services that range from traditional civil and structural engineering to unique safety and GIS services. While we pride ourselves on technical precision and expertise, the heart of our organization is our people.",http://www.ljbinc.com,Engineering,"Full-Time, Part-Time","Entry Level Civil Engineer, Entry Level Safety Structural Engineer","Entry Level Civil Engineer, Entry Level Safety Structural Engineer",,"Civil/Environmental Engineering, Construction Engineering","Civil Engineering, Engineering Management (MS), Environmental Engineering, Environmental Engineering (MS)","Cooperative Education, Internship, Job","Masters, Senior, Junior",TRUE,TRUE,TRUE,No,No,No,No,No
290015,Flexware Innovation,Scientific and Technical Consulting,"Flexware Innovation is a leading technology integrator who helps forward thinkers in manufacturing and related industries build comprehensive and long-lasting solutions with ease. Founded in 1996, Flexware continues to help companies leverage technology to solve real business problems with teams of engineers focused on software development, automation engineering, manufacturing systems integration, business intelligence, and Internet of Things (IoT) devices. Our passion is helping our customers avoid costly architectural mistakes and design, architect, and build solutions that stand the test of time.",http://www.flexwareinnovation.com,,Full-Time,,None,,"Automation Engineering, Computer Engineering, Computer Engineering Technologies & Technicians, Computer Programming, Computer Science, Data Science, Electrical Engineering, Industrial Production Technologies & Technicians, Network Engineering, Software Design","Biomathematics, Chemical Engineering, Computational Science, Computer Engineering, Computer Science, Data Science, Electrical & Computer Engr, Electrical Engineering, Engineering Design, International Computer Science, Mathematics, Mechanical Engineering, Software Engineering, Syst. Engr & Mgmt Internat'l","Internship, Job","Senior, Junior, Sophomore",TRUE,FALSE,FALSE,Yes,Yes,No,Yes,No
16138,DLZ Corporation,Civil Engineering,"DLZ Corporation is an award-winning, full-service organization, which has provided complete project management, surveying, construction administration, engineering and architectural design services for nearly 100 years. DLZ is consistently ranked as one of (ENR)'s Top 150 U.S. Design Firms, a Top 100 Pure Design Firm, Top 50 Program Management Firm, Top 100 Construction Management for Fee Firm; and a Top 50 Trenchless Design Technology Firm. DLZ has also been recognized by Roads & Bridges magazine as a Top ""Go-To"" Design Firm for road and highway, storm water, and mass transit design.
 
Our mission is to build on our reputation for excellence by focusing on meeting and exceeding our clientsâ€™ expectations and being known for our competence, integrity, and contributions to the people and communities we service and in which we live.

DLZ recognizes the importance in employing a diverse workforce and achieves this by making employment decisions based on business needs, merit, and qualifications without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran or any other category protected by federal, state, and local laws. True innovation and success can only be achieved by respecting, empowering, and leveraging the unique perspectives, skills, and experiences of each person as an individual. 

Visit our career page at: https://careers.dlz.com/careers-home",https://careers.dlz.com/careers-home,DLZ Indiana,Full-Time,,None,"Civil Engineering, Electrical Engineering, Environmental Engineering, Environmental Engineering (MS), Mechanical Engineering",,"Civil Engineering, Electrical Engineering, Environmental Engineering, Environmental Engineering (MS), Mechanical Engineering","Internship, Job","Alumni, Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,Yes,No,No,Yes,No
22689,ThermalTech Engineering,Engineering & Construction,"ThermalTech Engineering has specialized in mechanical, electrical & energy management engineering since 1980.  We have 6 offices in 3 states (MI, TN, OH) & are seeking candidates to provide innovative solutions to our clients' facility, utility, process, & operations needs. 

We have 25 licensed Professional Engineers registered in 29 states, with a total engineering & support staff of over 100.  We are growing!

We specialize in a wide range of technical services tailored to meet customer needs, including:
â€¢â€‚â€‚â€‚â€‚â€‚Energy audits
â€¢â€‚â€‚â€‚â€‚â€‚Power generation & Arc Flash analysis
â€¢â€‚â€‚â€‚â€‚â€‚Chilled water, steam, process heating/cooling
â€¢â€‚â€‚â€‚â€‚â€‚Compressed air, dust collection & HVAC systems
â€¢â€‚â€‚â€‚â€‚â€‚Automation & Controls systems
â€¢â€‚â€‚â€‚â€‚â€‚Master planning & standards development
â€¢â€‚â€‚â€‚â€‚â€‚Structural analysis, including industrial, commercial, and religious buildings & bridges ",http://www.thermaltech.com,Michigan,Full-Time,,None,,"Chemical Engineering, Civil/Environmental Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering","Chemical Engineering, Civil Engineering, Computer Engineering, Electrical & Computer Engr, Electrical Engineering, Engineering Design, Environmental Engineering, Environmental Engineering (MS), Mechanical Engineering","Cooperative Education, Internship, Job","Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,No,No,No,Yes,No
24813,"American Structurepoint, Inc.",Civil Engineering,"American Structurepoint creates projects that people and communities value. We specialize in delivering innovation and vision in Architecture + Interiors, Engineering + Infrastructure, Planning + Economic Development, IT Solutions, and Investigative services from concept to completion",http://www.structurepoint.com,,Full-Time,,None,,"Agriculture & Biological Engineering, Civil/Environmental Engineering, Construction Engineering","Biochemistry, Biochemistry & Molecular Biology, Biology, Chemical Engineering, Civil Engineering, Engineering Management (MS), Environmental Engineering, Environmental Engineering (MS)","Internship, Job","Senior, Junior, Sophomore, Freshman",TRUE,TRUE,FALSE,Yes,Yes,No,Yes,No
83373,Messer Construction Co.,Construction,"We build where we live, and it shows. When you take charge of your career through professional growth and collaboration, you canâ€™t help but feel your impact on the community and the industry. And itâ€™s what you can expect at Messer each day. In business since 1932 and employee-owned since 1990, Messer is the commercial construction company committed to building better. Are you ready to join the legacy? 

Be a leader. Be a voice. Join Messer where building with purpose is the foundation of everything we do.",http://www.messer.com,Indianapolis,Full-Time,,"Project Engineer, Assistant Superintendent, Project Engineer Co-op",,"Civil/Environmental Engineering, Construction Engineering, Construction Management","Civil Engineering, Engineering Management, Engineering Management (MS), Environmental Engineering, Environmental Engineering (MS)","Cooperative Education, Internship, Job","Alumni, Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,Yes,No,No,Yes,No
229075,"Endress+Hauser, Inc.",Manufacturing,"We are a leading supplier of products, solutions and services for industrial process measurement and automation. We offer comprehensive process solutions for flow, level, pressure, analysis, temperature, recording and digital communications across a wide range of industries, optimizing processes with regards to economic efficiency, safety and environmental protection.",http://www.us.endress.com,,Full-Time,,None,,"Actuarial/Risk Analysis, Aerospace Engineering, Agriculture Business, Automation Engineering, Business Administration & Management, Business Analytics, Chemical Engineering, Chemistry, Civil Engineering Technologies & Technicians, Civil/Environmental Engineering, Computer Engineering, Construction Management, Consulting, Economics, Electrical Engineering, Electrical Engineering Technologies & Technicians, Electromechanical Instrumentation and Maintenance Technologies & Technicians, Energy Engineering, Entrepreneurship, Environmental Control and Systems Technologies & Technicians, Finance & Financial Management, Food Industry Management, General Engineering, Industrial Engineering, Industrial Production Technologies & Technicians, Insurance, International Business, Management Science, Materials Science & Engineering, Mechanical Engineering, Mechanical Engineering Technologies & Technicians, Network Engineering, Non Profit Management, Operations Management, Packaging Engineering, Parks, Recreation & Leisure Studies, Real Estate, Sales, Sport Business & Marketing, Supply Chain Management","Applied Biology, Applied Optics, Biochemistry, Biochemistry & Molecular Biology, Biochem & Molecular Biology, Biology, Biomathematics, Biomedical Engineering, Chemical Engineering, Chemistry, Civil Engineering, Computational Science, Computer Engineering, Computer Science, Data Science, Economics, Electrical & Computer Engr, Electrical Engineering, Engineering Design, Engineering Management, Engineering Management (MS), Engineering Physics, Environmental Engineering, Environmental Engineering (MS), International Computer Science, International Studies, Mathematics, Mechanical Engineering, Nanoengineering, Optical Engineering, Physics, Software Engineering, Syst. Engr & Mgmt Internat'l","Internship, Job","Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,Yes,Yes,No,Yes,No
322315,Q-mation,Other Industries,"Covering the Northeast and Central regions of the United States, Q-mation is the exclusive sales, support, and training organization for AVEVA â€“ the market leader in real-time operations management software. Since 1990, our organization has been helping customers in many industries to architect and maintain AVEVA based systems and to utilize and grow those systems to address the varied needs that exist in their manufacturing and industrial operations. The Indianapolis based team focuses on customer-centered projects, developing solutions for all HMI, SCADA, and MES needs.",https://q-mation.com/,,Full-Time,Application Consultant,Application Consultant,,,,"Internship, Job","Senior, Junior",TRUE,FALSE,FALSE,Yes,No,No,No,No
13221,"ZF North America, Inc.",Automotive,"ZF is a global technology company and supplies systems for passenger cars, commercial vehicles and industrial technology, enabling the next generation of mobility. With its comprehensive technology portfolio, the company offers integrated solutions for established vehicle manufacturers, mobility providers and start-up companies in the fields of transportation and mobility. ZF continually enhances its systems in the areas of digital connectivity and automation.

In 2018, ZF achieved sales of â‚¬36.9 billion. The company has a global workforce of 149,000 with approximately 230 locations in 40 countries. ZF invests over six percent of its sales in research and development annually.
",https://www.zf.com/mobile/en/homepage/homepage.html,Division U- Electronics & ADAS,,,None,,,,Internship,,TRUE,TRUE,TRUE,Yes,No,No,No,No
